title,text
It’s time to leave the word ‘Brexit’ behind and hold the government accountable for what it delivers now,"Sign up to our free Brexit and beyond email for the latest headlines on what Brexit is meaning for the UK Sign up to our Brexit email for the latest insight Please enter a valid email address Please enter a valid email address SIGN UP I would like to be emailed about offers, events and updates from The Independent. Read our privacy notice Thanks for signing up to the

Brexit and beyond email {{ #verifyErrors }} {{ message }} {{ /verifyErrors }} {{ ^verifyErrors }} Something went wrong. Please try again later {{ /verifyErrors }}

Andrew Grice’s article on how Boris Johnson might approach the next election overlooks the significant danger that nothing will change and just like the last four and a half years Brexit will continue to dominate our national life, dividing us and stultifying debate and preventing progress within this country.

Back in July 2018 you published a letter of mine around who was to blame for the then Brexit situation and I feel my final paragraph remains relevant unless we actively choose a different course.

“Even after we leave the EU ... the question will remain unresolved dividing the nation. The UK will be like Ireland after the civil war: divided for generations over what should have happened back at the peace conference in 1921. And, like Ireland only when those who lived through it are dead will the country be able to move forward.”

If we want to avoid repeating history then we must put Brexit behind us and refuse to fight yesterday’s battles again even if Johnson sees a rematch as his best route to victory.

I’m not suggesting that Johnson should be given a clear path. He should be challenged on what he’s done and is doing now on the economy, the pandemic, equality, feeding children – the list is endless – but we should not allow ourselves to be mired in the past his incompetence.

Outlaw the “B” word, concentrate on what the government promises and what it actually delivers and work to get a government committed to the many not the few by concentrating on the here and now.

John Simpson

Ross-on-Wye

Labour issues

While there are times when journalistic shorthand is unavoidable, I strongly object to your assertion about the Brexit deal that “Labour immediately threw their weight behind the government and said they would support it”.

The Labour leadership may have done so but a large majority of the party’s members believe that this is a terrible deal and would like to see our MPs defy the party whip, for the good of both country and party.

Phil Whitney

Cromford

It must have given great comfort to our bumbling PM to have had Keir Starmer’s pledge to whip his party into voting for the “deal” even before it was struck or details published.

Just what a chap needs in times of adversity!

Eddie Dougall

Bury St Edmunds

EU attachment

Among much of the nonsense our PM spouted in the wake of the “deal” was the declaration that the UK would remain “culturally, emotionally, historically, strategically and geologically attached to Europe”. The man simply loves the sound of his own voice.

As a Remainer I am completely culturally and emotionally attached to Europe. I do not accept that Brexiteers are, let alone wish to remain so. Then, how can we not remain “historically” attached? History is done. Strategically? I doubt it, though I very much hope so. But geologically? Goodness! I’d no idea that was up for grabs. How much has that weirdly unbelievable initiative cost us? We really should be told.

Beryl Wall

London

Slogans run and run

Boris Johnson promised us an oven ready EU deal. How appropriate that he finally came with a turkey at Christmas.

David Barker

Surbiton

A golden age? Wrong – more moonshot pyrite in the sky!

Vincent Ryan

Address supplied"
70% of young Scots believe Brexit vote was a 'bad result',"Something went wrong, please try again later.

Invalid email Something went wrong, please try again later.

Don't miss any of Glasgow Live's biggest stories - sign up to our daily email newsletter

Under one in 10 young people in Scotland think the Brexit vote was a ""good result"", research has found.

More than two-thirds (70%) of almost 600 11 to 26-year-olds who took part in the Young Scot Your Thoughts on Brexit survey said the vote to leave the EU was ""not a good result"" with just 9% believing the opposite.

A further 11% said they are ""not bothered either way"" and 10% responded that they had not given it much thought.

More than half (55%) believe it will lead to fewer career opportunities and 47% think studying opportunities will fall, 42% said Brexit has already affected them, and nearly a fifth (19%) said it had made them change their plans or ambitions.

However, more than a third (35%) said it will not change their plans and 9% believe career opportunities will increase, with 6% predicting a rise in studying opportunities.

The head of Young Scot said the findings underline the importance of young people having a voice the Brexit negotiations.

Further results from the survey show more than half (56%) think Brexit will have a negative effect on their family life while 6% said the effect will be positive and 27% predicted no effect.

Around 28% of students said they are not sure how Brexit will affect them but, of those who think there will be an effect, more believe it will be negative (41%) than positive (5%).

Just under a third (32%) predict a negative impact on their rights while a fifth (20%) think their rights will not be affected and 4% think they will improve.

Around half of respondents (48%) believe Brexit will erode the rights of EU nationals, while 4% think it will have a positive impact.

More than half (58%) said co-operation on national security will be more difficult while one in 20 (5%) believe it will be easier.

Among the concerns respondents raised when questioned about EU benefits were travel and free movement, education and employment, funding, health and rights.

Other concerns included mobile phone roaming charges, trade and the economy.

Louise Macdonald, chief executive of Young Scot, said: ""Our research shows that the majority of young people in Scotland have concerns about the UK's future relationship with Europe.

""It's absolutely vital that political leaders across the UK work with young people to fully involve them in discussions about their future.

""Many young Scots fear that there will be a negative impact on their lives and opportunities following withdrawal from the EU; their ideas and priorities must be heard.""

The Scottish Government supported the survey which questioned 593 people aged 11-26 between November 2017 and March."
Judge orders Ukip to reveal Brexit referendum data use,"Ukip has been ordered to fully reveal details of how it used nearly £300,000 of political data services in the run-up to the Brexit vote and the 2015 general election after the party lost a two-year legal battle to block disclosure.

An appeals tribunal found the political party, led at the time by Nigel Farage, failed to properly answer the information commissioner’s questions. It is now legally obliged to provide detailed answers to questions about how it spent political donations and used polling companies and data.

The ruling is the latest watchdog finding to cast a shadow over the 2016 EU referendum and to raise concerns about the use of political and social media data.

Last year the Electoral Commission found both the official Vote Leave campaign – in which Boris Johnson and Michael Gove played key roles – and the unofficial Leave.EU campaign guilty of breaking electoral law. The commission fined both campaigns and referred its findings to the police.

Facebook also came in for criticism from the information commissioner and was fined £500,000 in the wake of the Cambridge Analytica scandal for allowing third party developers to access user information without sufficient consent. The latest ruling is a result of a separate Information Commissioner’s Office (ICO) investigation into how political parties use data analytics to target voters. It was launched in response to public concern about the use of social media during the referendum, after the Observer’s initial investigation into the abuse of data and the work of Cambridge Analytica.

When the investigation opened in 2017, the information commissioner, Elizabeth Denham, said more than 30 organisations were under scrutiny. While some were cooperating, she said, “others are making it difficult.”

In the latest ruling, Judge Nicholas Wikeley criticised Ukip’s failure to cooperate with the ICO, saying: “Its answers arrived late and were brief and unsatisfactory, not least in being inconsistent with publicly available information previously supplied by Ukip itself. Overall, Ukip’s response gave the commissioner the clear impression that the party was not taking the request seriously.”

Arron Banks (right) talks to an anti-Brexit campaigner outside the Houses of Parliament. Photograph: Leon Neal/Getty Images

When the commissioner first wrote to Ukip, the party replied: “It turns out we hardly use data at all.”

It specifically denied using the services of Constituency Polling Ltd, which is linked to polling firm Survation, even though the Electoral Commission’s register showed that Ukip spent £186,613.13 with the company during the 2015 general election.

Ukip also spent a small sum – £72.00 – on the unofficial Leave.EU campaign during the referendum, and directed much larger sums to companies whose owner Arron Banks was a major Ukip donor and founder of Leave.EU. “Better for the Country”, which was used to finance Leave.EU, received £67,236 during the EU referendum and Rock Services Limited was paid £64,762.73 during the 2015 general election.

The National Crime Agency is investigating allegations of multiple criminal offences by Arron Banks and Leave.EU in the Brexit referendum. One focus of the investigations is £2m reported to have been lent to Better for the Country.

Banks and Elizabeth Bilney, who chaired the Leave.EU campaign, said they rejected any allegations of wrongdoing, and argued the investigation was motivated by political considerations.

Leave.EU and another Arron Banks firm, Eldon Insurance, were also fined over data law breaches in the referendum.

Ukip also later admitted in further correspondence to the data commissioner: “In the past we have used targeted ad [sic] on Facebook during the referendum and we have used the boost service for our ads. We have not granulated data any further than that.”

The commissioner has found that many political parties bought marketing lists and lifestyle information from data brokers “without sufficient due diligence” as to their activities. They also used third-party data analytics companies without checking if users had given consent for their personal information to be passed on and used for political purposes.

Ukip was specifically asked about its links to another organisation called NationBuilder, an online campaigning platform which the ICO said was used by up to 200 political parties or campaign groups during the 2017 general election. NationBuilder has a “match function” allowing parties to match their own databases with social media data from public profiles, which the regulator said could be happening without the people affected knowing. NationBuilder said the match function was optional and could be switched off by its clients.

In its appeal, Ukip argued the information commissioner did not have the power to make such demands on it. It also said it was “a relatively small, modestly funded organisation with largely part-time staff. Ukip does not have great resources and does the best it can with what it has.”

Ukip said: “This case concerned an information notice served on Ukip, which was unclear in its scope. As there were no existing legal authorities on how information notices should be interpreted, Ukip chose to appeal it. This judgment is the final determination in that matter and Ukip has since supplied the information required of it to the ICO.”"
,
Nigel Farage 'stuck on Brexit bus due to people armed with milkshakes',"Farage got stuck on his bus in Kent because people were waiting with milkshakes

Farage got stuck on his bus in Kent because people were waiting with milkshakes

The video will auto-play soon 8 Cancel

The Brexit Party leader has been campaigning in Dartford and Gravesend today but three men with balaclavas are reported to have greeted him in Rochester

Nigel Farage 'stuck on Brexit bus due to people armed with milkshakes'

Nigel Farage was reportedly stuck on his Brexit Party campaign bus due to people nearby wearing balaclavas thought to have been armed with milkshakes.

Police are said to have been called to the scene in Rochester.

But later a Brexit Party spokesman confirmed that Mr Farage had left the bus after police spoke to the protesters.

Earlier this week the Brexit Party leader was doused in the milk-based drink while campaigning in Newcastle.

Today Mr Farage has been campaigning in Kent on a bus driven by Michael Botton, reports Kent Live.

Mr Botton told Kent Live: ""There are a couple of guys standing over there with milkshakes, they were going to throw them over him.

“But the police are there, we’ve spotted them and now Nigel isn’t getting off the bus.”

Image: Grant Falvey/LNP) Grant Falvey/LNP)

Three young men dressed in black with their hoods up and covering their faces with balaclavas were spotted at the back of the crowd.

Farage was said to be alerted and he was told not to get off the bus.

And two men enjoying iced coffees were photographed speaking to police liaison officers after they had shouted anti-Farage slogans.

Image: Grant Falvey/LNP) Grant Falvey/LNP)

Image: Grant Falvey/LNP) Grant Falvey/LNP)

A Brexit Party spokesman said: ""Nigel Farage arrived at Rochester to be greeted by 50-60 local supporters.

""Three anti-Brexit party activists turned up with milkshakes, they were laughed at and spoken to by the police and put their drinks down.

""Farage conducted a few interviews on the open topped bus then came down to speak to supporters and local campaigners.""

Mr Farage did not walk down streets as he had at previous stops.

Kent Live reporter at the scene Will Rider said: ""He was stuck on the bus for ages and wouldn't come off.

""Eventually he did come off but he only stepped about a metre away and chatted to some supporters.

""He got back on the bus very quickly.

""In all the other places he stopped off and walked down the high street.

Image: REUTERS) REUTERS) Image: REUTERS) REUTERS)

""There was a Brexit stall on this high street but he didn't visit it.

""He's gone and everyone has left now.""

On the last day of campaigning he said: ""It's a big day tomorrow, a chance to stun the establishment.

""I don't know if the opinion polls are right but if they are the Brexit Party could win and it could win big. It could change the whole political agenda, I reckon that's pretty exciting.""

Mr Farage, whose Brexit Party have seen huge success in polling ahead of the voting tomorrow, said: ""...militant Remainers who do not hide their contempt for the demos – the people – and imagine that they can stop the march of a mass movement with a milkshake. Dream on.""

Mr Farage has been on the streets earlier today to meet voters ahead of the European elections taking place tomorrow.

He is said to have largely received a positive reception in Dartford and Gravesend.

Image: Getty Images) Getty Images)

Image: Grant Falvey/LNP) Grant Falvey/LNP)

Video Loading Video Unavailable Click to play Tap to play The video will auto-play soon 8 Cancel Play now

Paul Crowther, 32, has been charged with common assault and criminal damage after being filmed throwing the drink over Farage.

Crowther, who works as a customer service representative at Sky, will appear at North Tyneside Magistrates Court on June 18.

Former EDL leader Tommy Robinson and UKIP candidate Carl Benjamin were both targeted with milkshakes in recent weeks with Robinson being doused twice in two days."
Brexit: Theresa May tells MPs that her deal was better than Boris Johnson’s,"Sign up for the View from Westminster email for expert analysis straight to your inbox Get our free View from Westminster email Please enter a valid email address Please enter a valid email address SIGN UP I would like to be emailed about offers, events and updates from The Independent. Read our privacy notice Thanks for signing up to the

View from Westminster email {{ #verifyErrors }} {{ message }} {{ /verifyErrors }} {{ ^verifyErrors }} Something went wrong. Please try again later {{ /verifyErrors }}

Theresa May has told the House of Commons that her trade deal with the EU was better than the one eventually struck by Boris Johnson.

The former prime minister said that she would vote later today in favour of the EU/UK Trade and Cooperation Agreement reached by her successor on Christmas Eve, but told MPs that she had offered them a “better deal” in 2019.

And she took a swipe at hardline Brexiteers on the Tory backbenches who judge the success of a deal by the extent to which it frees the UK from entanglement in multilateral organisations like the EU, declaring: “Sovereignty does not mean isolationism.”

Ms May said she was “disappointed” in the deal Mr Johnson has reached on services and his failure to achieve the “groundbreaking” settlement for the financial sector which she had promised. She urged him to return to the negotiating table and fight for better arrangements for the sector which makes up 80 per cent of the UK economy.

“We have a deal in trade, which benefits the EU, but not a deal in services, which would have benefited the UK,” she told MPs.

Ms May also raised concerns about the security arrangements in Mr Johnson’s deal, which she suggested could harm the fight against modern slavery and child abduction.

And she said that the complex structure of joint committees and panels constructed to oversee the implementation and interpretation of Mr Johnson’s deal ”without any formal reference to this parliament” meant that the Christmas Eve agreement would not “excise the EU from our lives”.

Despite her misgivings, she urged MPs to back the Bill ratifying the deal. In an apparent reference to the rebellions which forced her from power, she said it was time “to push aside personal and party political interests, which sadly too many have followed in the past” in favour of the national interest.

Ms May’s proposed deal, which would have seen the UK remain temporarily in the EU’s customs union, was rejected by hardline Tory Brexiteers as “Brexit in name only” and triggered the resignation of Mr Johnson and David Davis from her cabinet.

After a succession of humiliating Commons defeats at the hands of Tory rebels and opposition parties, she resigned and saw her former foreign secretary replace her in 10 Downing Street.

Speaking in the one-day debate on the Bill ratifying Mr Johnson’s deal, Ms May said she had heard with “incredulity” that Labour was now planning to vote in favour of the PM’s agreement with Brussels.

The former PM said: “I welcome this deal and I will be supporting it today and I welcome the fact that the official opposition will be supporting this deal.

“But I did listen with some incredulity to what the leader of the opposition said.

“He said he wanted a better deal. He had the opportunity in early 2019, when there was the opportunity of a better deal on the table, and he voted against it.”

Ms May said that the zero-tariff, zero quota arrangements which Mr Johnson boasts of as the main achievement of his deal were already contained in the political declaration which she agreed with Brussels in 2018.

And she raised concerns about the security aspects of Mr Johnson’s deal, which denies the UK direct access to EU crime-fighting databases, such as the Schengen Information System II for security and border management.

“I hope in operational terms, in practice, we will see little change to the ability to investigate as a result of the good relationships which have been built up, but I do say that I think the EU has made a mistake in not allowing us access to SIS II,” she told MPs.

“I think that is something where we should aim to find some resolution of in the future, because it is an important database, it does help us in our fight on modern slavery and child abduction and identifying criminals across our borders.”

Ms May added: “One area where I am disappointed in the deal is in services. It is no longer the case that UK service providers will have the automatic right of access to provide services across the EU. They will have to abide by the individual rules of state.

“And the key area is financial services. In 2018 in Mansion House I said that we wanted to work to get a financial services deal in the future treaty arrangement, and that that would be truly groundbreaking. It would have been. But sadly it has not been achieved.

“We have a deal in trade, which benefits the EU, but not a deal in services, which would have benefited the UK.”

Despite Mr Johnson’s calls for Britain to move on from Brexit, she called on the government to resume negotiations “with alacrity and vigour” to improve the UK’s position on services.

In comments apparently aimed at the hardline Brexiteers who made her premiership a misery, Ms May said: ""Sovereignty does not mean isolationism, it does not mean we never accept somebody else's rules, it does not mean exceptionalism.

“And it is important as we go forward that we recognise we live in an interconnected world.

“And if the United Kingdom is going to play the role that I believe it should play in not just upholding, but encouraging and promoting the rules-based international order and in ensuring that we promote the interests and value and strengthen multilateral institutions like the World Trade Organisation, we must never allow ourselves to think - as I fear some in this House do - that sovereignty means isolationism.”"
,
Subscribe to read,"What is included in my trial?

During your trial you will have complete digital access to FT.com with everything in both of our Standard Digital and Premium Digital packages.

Standard Digital includes access to a wealth of global news, analysis and expert opinion. Premium Digital includes access to our premier business column, Lex, as well as 15 curated newsletters covering key business themes with original, in-depth reporting. For a full comparison of Standard and Premium Digital, click here.

Change the plan you will roll onto at any time during your trial by visiting the “Settings & Account” section.

What happens at the end of my trial?

If you do nothing, you will be auto-enrolled in our premium digital monthly subscription plan and retain complete access for £55 per month.

For cost savings, you can change your plan at any time online in the “Settings & Account” section. If you’d like to retain your premium access and save 20%, you can opt to pay annually at the end of the trial.

You may also opt to downgrade to Standard Digital, a robust journalistic offering that fulfils many user’s needs. Compare Standard and Premium Digital here.

Any changes made can be done at any time and will become effective at the end of the trial period, allowing you to retain full access for 4 weeks, even if you downgrade or cancel."
Alan Sugar says Boris Johnson and Michael Gove should be imprisoned over Brexit 'lies',"Sign up to our free Brexit and beyond email for the latest headlines on what Brexit is meaning for the UK Sign up to our Brexit email for the latest insight Please enter a valid email address Please enter a valid email address SIGN UP I would like to be emailed about offers, events and updates from The Independent. Read our privacy notice Thanks for signing up to the

Brexit and beyond email {{ #verifyErrors }} {{ message }} {{ /verifyErrors }} {{ ^verifyErrors }} Something went wrong. Please try again later {{ /verifyErrors }}

Boris Johnson and Michael Gove should be imprisoned for ""lies"" they told during the Brexit referendum campaign, Alan Sugar has said.

The businessman and host of The Apprentice said the leading Brexiteers should face criminal action for claiming there would be £350m more to spend on the NHS after Brexit.

He suggested the result of the Brexit referendum should be declared ""void"" because the public had been ""totally misled"" by anti-EU campaigners.

Speaking during a House of Lords debate on a second Brexit referendum, Lord Sugar, who sits as a crossbench peer after quitting the Labour Party, initially said a fresh vote would be a ""complete farce"".

But referring to the 2016 poll, he added: ""However, there is a very good argument to void that vote if it can be concluded that the public were totally misled and it is my belief that a large section of the British public were misled, informing their decision to vote to leave.""

Describing the business world ""where all comments and forecasts ... had to be scrutinised line by line by auditors and lawyers in a very tough due diligence and verification process"", he said similar standards should be applied to politicians.

Dominic Raab raises fears of no-deal Brexit, blaming EU's negotiating stance

He said: ""No such process exists for claims politicians make.

""In some cases misleading shareholders had resulted in prosecution, imprisonment.

""Applying the public company principle, it should follow that those people who will be responsible for putting this country into five to 10 years of post-Brexit turmoil based on lies should be in prison or at least prosecuted.

""Such as Boris Johnson and Michael Gove for the £350m lie they put on the red bus.""

During the campaign, the Vote Leave group toured the country in a bus emblazoned with the words: ""We send the EU £350m a week. Let's fund our NHS instead.""

Britain before Brexit: East of England Show all 13 1 / 13 Britain before Brexit: East of England Britain before Brexit: East of England Norwich A couple and their dog relax by the Cathedral’s Labyrinth. I am charmed by the arrangement of their bodies and the shapes in which they are bonding. I realise the contemporary significance of the scene: the labyrinth - a complicated, irregular network of passages in which it is difficult to find one’s way - alongside the simplicity and closeness of human togetherness. In any complicated maze-like structure - Brexit included - it is important to remember that people and love and relationships are a vital part of the picture. Richard Morgan/The Independent Britain before Brexit: East of England Luton A construction worker assembles metal barriers for an art event. He looks towards an off-licence boasting to be pure 100% Moldovan. The lady inside isn’t returning the gaze, but stares inwards, onto the surface of her selfie, her narcissism being by far the most interesting thing in the shop window. Richard Morgan/The Independent Britain before Brexit: East of England Luton Walking back into town from Leagrave High Street I notice two graffitied propaganda messages: ‘Free Gaza’ and ‘Beverly is a black cow’. Here are but two voices, I think, in the crazy cacophony of contemporary British discourse, of the British tongue, fractured as it is into accents, splintered by slangs, torn, in this case, into the libertarian and abusive, one dehumanising, one for freedom. Richard Morgan/The Independent Britain before Brexit: East of England Cambridge University students hold a flash protest against the low pay of McDonald’s employees. They receive tuts, cheers, insults, whoops, raised eyebrows. People enter the restaurant in any case, unaware or uncaring that they have crossed a picket line. Richard Morgan/The Independent Britain before Brexit: East of England Norwich I went to look inside the Catholic Cathedral during Mass. I wanted to see the ritual and the practices, the people and their poses. There is a rich spectrum of visual dimensions to Catholic prayer that I first noticed when photographing in Poland. I’m attracted to its ambivalence: solemn and joyous; lonely in dialogue; desperate but determined; solitary yet complete. Richard Morgan/The Independent Britain before Brexit: East of England Great Yarmouth Posters from the town’s glory days surround the Winter Gardens as it rusts and becomes overgrown. It seems like an intentional act to rekindle nostalgia in the face of disrepair, to balance the present with representations of the past. Richard Morgan/The Independent Britain before Brexit: East of England Norwich At the back of the central market hang three representations of conflict, side-by-side, connected, making sense in relation to one another. Only one message can be worn at any one time, but together they narrate a powerful image of modern Britain: a unified group, a club, an undefeated nation facing an existential threat from its enemies. Richard Morgan/The Independent Britain before Brexit: East of England Luton People set up posts outside the train station, asking the town’s new arrivals for various things: religious missionaries seek attention and commitment; a person sleeping rough asks for food and spare change. I’m interested in how this affects the visual experience of arriving in Luton and what the religious and the homeless look like when viewed in the same frame. Richard Morgan/The Independent Britain before Brexit: East of England Cambridge A concoction of interests outside King’s College: a tourist desperately hailing lost members of the group; a shopper takes a break from the high street; a man sits to read; a woman meditates with her identity concealed. Richard Morgan/The Independent Britain before Brexit: East of England Luton A family emerges from the colours of Leagrave High Street. Twins sit and stare, identically, scrutinising me, like their father, perhaps. They are framed by rails of clothes. Mannequins exaggerate their life. Richard Morgan/The Independent Britain before Brexit: East of England Luton A pop-up employment workshop opens for business in the town centre. The sign is heavily loaded with the values of modern Britain: one must aspire to achieve, earn, and live; acquiring skills is akin to personal development; the prioritisation of the ‘local’. A lady carrying water on a scooter - unconventionally, comically, skilfully - appears as a strange detail of everyday life passing such lofty visions. Richard Morgan/The Independent Britain before Brexit: East of England Great Yarmouth The Britannia Monument celebrates Horatio Nelson’s life. An acrobat fell from the top and died in 1863. It remains a mystery, a travesty for some, that Britannia - the monument’s embodiment of the nation - has her back to the sea. These days she turns her back on a single one-man tent too, a home, a shelter erected on the shore. Richard Morgan/The Independent Britain before Brexit: East of England Great Yarmouth This was the last scene I saw in the town. I was leaving. I thought of how child’s play, in its innocence and vitality, continues amidst our hunched, phone-tapping adolescence and adulthood. Richard Morgan/The Independent

The figure has been comprehensively debunked, including by the UK's statistics watchdog.

Lord Sugar also revealed he had turned down an invitation from then prime minister David Cameron to argue for the Remain side in a televised debate prior to the referendum – a decision he said he continues to ""kick"" himself for rejecting.

During the Lords debate, peers from across the House spoke out in support for a Final Say referendum on whatever deal Theresa May negotiates with Brussels.

Tory peer Baroness Wheatcroft said another public vote was needed.

""This is looking increasingly like a posh boy's Brexit,"" she said."
'A world first' - Boris Johnson to face private prosecution over Brexit campaign claims,"Crime

‘I have no doubt that Dermot Carr has more victims – he is a predator and is sick in the head’, says father of victim"
